date,exit,n,portfolio,benchmark,excess,win_rate,best,worst
2026-05-20,2026-05-27,10,0.01235240829336838,-0.016009992986633526,0.028362401280001906,0.6,0.08218866028283034,-0.058582546197967544
2026-05-27,2026-06-03,10,0.05513611293418401,0.04703786864104753,0.008098244293136478,0.9,0.11870543178132009,-0.005960128201176418
2026-06-03,2026-06-10,10,0.0245093197101266,0.013521149042468927,0.010988170667657674,0.7,0.10826243917878386,-0.046038758077603936
2026-06-10,2026-06-17,10,-0.037338628271252075,-0.022184441498471652,-0.015154186772780423,0.1,0.01760952365444335,-0.07194349519564003
2026-06-17,2026-06-24,10,-0.017822498383356897,-0.012099831032729491,-0.005722667350627406,0.4,0.10984693337288443,-0.1046280650647019
2026-06-24,2026-07-01,10,-0.022663206578605394,0.003068118692886257,-0.02573132527149165,0.4,0.05523842791268274,-0.08365310563927209
2026-07-01,2026-07-08,10,-0.02610405618332808,0.0009126012929023819,-0.02701665747623046,0.3,0.053364620281791675,-0.11994771622372224
2026-07-08,2026-07-15,10,-0.02589832546660351,-0.024273051166066484,-0.0016252743005370253,0.4,0.07033434849254605,-0.1054789381845026
2026-07-15,2026-07-22,10,-0.005312405472415446,-0.016773283072067824,0.011460877599652378,0.5,0.12045295228097075,-0.059914338125310884
2026-07-22,2026-07-29,10,0.012826756485616621,0.023272310394999662,-0.010445553909383041,0.7,0.06004077741865377,-0.046592231909562964
2026-07-29,2026-08-05,10,-0.03660944060013355,0.0015202122476467572,-0.038129652847780304,0.3,0.09946363095438038,-0.16937294721880192
2026-08-05,2026-08-12,10,0.019271616923417237,0.012150144414839747,0.007121472508577489,0.6,0.09305064793950013,-0.045479146539961435
